player,predicted_prob,is_elite,GA90,value_2022_M,value_2024_M,value_change_M,value_growth_pct
Michael Olise,0.7932724587577947,1,1.0411311053984575,12,60,48,400.0
João Pedro,0.7516295730093911,1,0.7392197125256673,15,50,35,233.33333333333334
Lee Kang-in,0.8123996807277594,1,0.6494287432351172,12,40,28,233.33333333333334
Jonathan Burkardt,0.6842350301636096,1,0.8534850640113798,12,25,13,108.33333333333333
Jude Bellingham,0.507089741681896,1,0.614951768488746,60,120,60,100.0
Jeremy Doku,0.6776063850908556,0,0.5343007915567282,30,60,30,100.0
Vinicius Júnior,0.7754283143304919,1,0.758988015978695,80,150,70,87.5
Florian Wirtz,0.9002888429413454,1,0.8421948107188431,70,130,60,85.71428571428571
Bukayo Saka,0.6055386732848247,1,0.8328513591671486,65,120,55,84.61538461538461
Jamal Musiala,0.7142506699097939,1,0.7007786429365962,65,120,55,84.61538461538461
Anthony Elanga,0.4926059844536627,1,0.6117552978808477,15,25,10,66.66666666666666
Yacine Adli,0.7099424641697464,1,0.7383100902379,10,12,2,20.0
Sofiane Diop,0.7591138645674921,1,0.8458646616541353,15,18,3,20.0
Erling Haaland,0.7449714917241278,1,0.8223684210526316,150,180,30,20.0
Arnaud Kalimuendo,0.7055724749863401,1,0.6982156710628393,20,20,0,0.0
Mohamed Ali Cho,0.5120245311595522,0,0.3886489821098087,12,12,0,0.0
Hugo Ekitike,0.7056915492288787,1,0.8076472883339836,25,25,0,0.0
Mason Greenwood,0.6122180602395545,1,0.8345221112696148,50,40,-10,-20.0
Myron Boadu,0.6212203032104852,1,0.8637236084452975,15,8,-7,-46.666666666666664
Fábio Silva,0.8107236486201841,1,0.6270096463022508,25,12,-13,-52.0
