Player,Age,Squad,Pos,Min,Gls,Ast,current_GA90,elite_prob
Endrick,18.0,Real Madrid,FW,363,1,0,0.24793388429752067,0.7004973459855864
Ibrahim Mbaye,16.0,Paris S-G,"FW,MF",340,1,1,0.5294117647058824,0.5775110850937181
Louis Leroux,18.0,Nantes,"MF,DF",816,2,1,0.33088235294117646,0.5761838539724365
Mahamadou Diawara,19.0,Le Havre,MF,582,0,1,0.15463917525773196,0.5761838539724365
Ethan Nwaneri,17.0,Arsenal,"FW,MF",895,4,2,0.6033519553072626,0.5761838539724365
Nhoa Sangui,18.0,Reims,"DF,MF",1158,0,2,0.15544041450777202,0.5761838539724365
Alejandro Jiménez,19.0,Milan,"DF,FW",1266,0,1,0.07109004739336493,0.5761838539724365
Jack Hinshelwood,19.0,Brighton,"MF,DF",1842,5,2,0.3420195439739414,0.5761838539724365
Niccolò Pisilli,19.0,Roma,MF,1227,2,1,0.22004889975550124,0.5761838539724365
Désiré Doué,19.0,Paris S-G,"FW,MF",1730,6,6,0.6242774566473989,0.5761838539724365
Yan Diomandé,17.0,Leganés,"MF,FW",545,2,1,0.4954128440366973,0.5761838539724365
Tyler Dibling,18.0,Southampton,"FW,MF",1874,2,0,0.096051227321238,0.5761838539724365
Nicolás Paz,19.0,Como,"MF,FW",2687,6,8,0.4689244510606625,0.5761838539724365
George Ilenikhena,17.0,Monaco,FW,717,3,2,0.6276150627615062,0.5656029550251914
Samuel Amo-Ameyaw,18.0,Strasbourg,"DF,MF",320,2,0,0.5625,0.5647029987016908
Eliesse Ben Seghir,19.0,Monaco,"MF,FW",1750,6,3,0.4628571428571429,0.5621632354157355
Kassoum Ouattara,19.0,Monaco,"DF,FW",391,0,1,0.23017902813299235,0.5621632354157355
Assane Diao,18.0,Como,"FW,MF",1252,8,1,0.646964856230032,0.5621632354157355
Kenan Yıldız,19.0,Juventus,"FW,MF",2402,7,4,0.4121565362198168,0.5621632354157355
Bence Dárdai,18.0,Wolfsburg,MF,1304,1,1,0.13803680981595093,0.558220970012513
Kobbie Mainoo,19.0,Manchester Utd,MF,1651,0,0,0.0,0.557511085093718
Rico Lewis,19.0,Manchester City,"DF,MF",1893,1,2,0.14263074484944532,0.557511085093718
Amadou Koné,19.0,Reims,MF,1293,0,0,0.0,0.557511085093718
Senny Mayulu,18.0,Paris S-G,MF,808,2,2,0.44554455445544555,0.557511085093718
Oscar Højlund,19.0,Eint Frankfurt,MF,722,1,0,0.12465373961218837,0.557511085093718
Lucas Bergvall,18.0,Tottenham,MF,1212,0,1,0.07425742574257425,0.557511085093718
