Player,Age,Pos,Squad,Comp,Min,Gls,Ast,current_GA90,elite_prob,Tkl,PrgC,SCA,GCA,Touches
Endrick,18.0,FW,Real Madrid,es La Liga,363,1,0,0.24793388429752067,0.7004973459855864,1,12,8,2,127
Ibrahim Mbaye,16.0,"FW,MF",Paris S-G,fr Ligue 1,340,1,1,0.5294117647058824,0.5775110850937181,4,15,8,2,198
Louis Leroux,18.0,"MF,DF",Nantes,fr Ligue 1,816,2,1,0.33088235294117646,0.5761838539724365,25,11,30,3,411
Mahamadou Diawara,19.0,MF,Le Havre,fr Ligue 1,582,0,1,0.15463917525773196,0.5761838539724365,20,9,14,1,321
Ethan Nwaneri,17.0,"FW,MF",Arsenal,eng Premier League,895,4,2,0.6033519553072626,0.5761838539724365,11,46,29,3,544
Nhoa Sangui,18.0,"DF,MF",Reims,fr Ligue 1,1158,0,2,0.15544041450777202,0.5761838539724365,16,21,18,5,708
Alejandro Jiménez,19.0,"DF,FW",Milan,it Serie A,1266,0,1,0.07109004739336493,0.5761838539724365,24,55,34,4,729
Jack Hinshelwood,19.0,"MF,DF",Brighton,eng Premier League,1842,5,2,0.3420195439739414,0.5761838539724365,27,19,35,3,1199
Niccolò Pisilli,19.0,MF,Roma,it Serie A,1227,2,1,0.22004889975550124,0.5761838539724365,24,22,35,5,718
Désiré Doué,19.0,"FW,MF",Paris S-G,fr Ligue 1,1730,6,6,0.6242774566473989,0.5761838539724365,48,97,109,24,1461
Yan Diomandé,17.0,"MF,FW",Leganés,es La Liga,545,2,1,0.4954128440366973,0.5761838539724365,14,37,37,5,309
Tyler Dibling,18.0,"FW,MF",Southampton,eng Premier League,1874,2,0,0.096051227321238,0.5761838539724365,34,69,56,4,868
Nicolás Paz,19.0,"MF,FW",Como,it Serie A,2687,6,8,0.4689244510606625,0.5761838539724365,51,77,144,16,1683
George Ilenikhena,17.0,FW,Monaco,fr Ligue 1,717,3,2,0.6276150627615062,0.5656029550251914,4,8,17,3,189
Samuel Amo-Ameyaw,18.0,"DF,MF",Strasbourg,fr Ligue 1,320,2,0,0.5625,0.5647029987016908,5,11,14,1,165
Eliesse Ben Seghir,19.0,"MF,FW",Monaco,fr Ligue 1,1750,6,3,0.4628571428571429,0.5621632354157355,31,85,77,7,1244
Kassoum Ouattara,19.0,"DF,FW",Monaco,fr Ligue 1,391,0,1,0.23017902813299235,0.5621632354157355,9,15,9,1,274
Assane Diao,18.0,"FW,MF",Como,it Serie A,1252,8,1,0.646964856230032,0.5621632354157355,25,50,31,4,523
Kenan Yıldız,19.0,"FW,MF",Juventus,it Serie A,2402,7,4,0.4121565362198168,0.5621632354157355,54,115,130,10,1485
Bence Dárdai,18.0,MF,Wolfsburg,de Bundesliga,1304,1,1,0.13803680981595093,0.558220970012513,24,5,24,2,595
Kobbie Mainoo,19.0,MF,Manchester Utd,eng Premier League,1651,0,0,0.0,0.557511085093718,46,22,34,3,1061
Rico Lewis,19.0,"DF,MF",Manchester City,eng Premier League,1893,1,2,0.14263074484944532,0.557511085093718,30,39,31,3,1477
Amadou Koné,19.0,MF,Reims,fr Ligue 1,1293,0,0,0.0,0.557511085093718,49,19,28,2,788
Senny Mayulu,18.0,MF,Paris S-G,fr Ligue 1,808,2,2,0.44554455445544555,0.557511085093718,25,29,38,6,592
Oscar Højlund,19.0,MF,Eint Frankfurt,de Bundesliga,722,1,0,0.12465373961218837,0.557511085093718,21,17,17,1,497
Lucas Bergvall,18.0,MF,Tottenham,eng Premier League,1212,0,1,0.07425742574257425,0.557511085093718,39,33,22,4,885
Arda Güler,19.0,"MF,FW",Real Madrid,es La Liga,1250,3,4,0.504,0.557511085093718,30,34,79,11,1058
Valentin Atangana Edoa,18.0,MF,Reims,fr Ligue 1,2854,1,0,0.03153468815697267,0.557511085093718,69,41,49,1,1433
